Type,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err
12 LM,-3.94,-21.2,0,6911202217,-3.94,-21.2,0,0,0,0,0
13 S-IVB,-2.75,-27.86,0,7004150209,-2.75,-27.86,0,0,0,0,0
14 S-IVB,-8.09,-26.02,0,7102040740,-8.09,-26.02,0,0,0,0,0
14 LM,-3.42,-19.67,0,7102070045,-3.42,-19.67,0,0,0,0,0
15 S-IVB,-1.51,-11.81,0,7107292058,1.51,-11.81,0,0,0,0,0
15 LM,26.36,0.25,0,7108030303,26.36,0.25,0,0,0,0,0
17 S-IVB,-4.21,-12.31,0,7212102032,-4.21,-12.31,0,0,0,0,0
M,1.2,-16.49,0,7205130846,1.5,-17.1,0,52,0.3,0.2,0
M,23.42,7.23,0,7207311808,24,10.1,0,-7,0.7,0.3,0
M,15.19,20.57,0,7208292258,15.8,22.9,0,20,2.9,1.6,0
M,-17.94,-20.74,0,7312241003,-24.8,-25.1,0,59,5.2,1.8,0
M,20.35,6.49,0,7407171205,20.3,6.5,0,9,0.8,0.6,0
M,-8.88,21.73,0,7411211315,-7.3,19.9,0,52,1,0.7,0
M,2.44,-8.07,0,7412150907,1.6,-8.2,0,-85,1.3,0.5,0
M,-49.93,3.42,0,7503052149,-52.4,4.2,0,-77,4,2.3,0
M,-14.33,-8.95,0,7605280602,-16.8,-10,0,67,2,0.6,0
M,70.76,2.71,0,7201040631,74.1,2.6,0,16,2.7,1.1,0
M,28.16,37.94,0,7309262046,28.7,41.1,0,39,4.1,2.4,0
M,7.64,-34.55,0,7404191829,7.4,-33.6,0,-5,2.2,0.9,0
M,3.14,41.61,0,7504121812,2,43.2,0,-11,4.5,0.5,0
M,-38.17,59.78,0,7601130711,-39.4,62.8,0,55,2.7,2,0
M,-18.5,-59.98,0,7704172332,-20.5,-63.8,0,23,1.8,0.8,0
M,-9.82,-73.54,0,7706282222,-13.5,-75.3,0,-84,7.7,3.1,0
M,-36.4,-121.3,0,7505040959,-36.4,-121.3,0,-47,3.3,1.1,0
M,21.54,-85.07,0,7611142312,23.8,-73.9,0,37,1.8,0.8,0
M,33.14,137.69,0,7309300411,32.8,137.6,0,-47,1.3,1.1,0
SH,-16.15,-24.62,118,7502132203,-17,-26.1,125,44,3,1.7,112
SH,11.99,49.33,10,7209171435,12.8,51,10,-20,2.9,1.6,109
SH,45.84,36.81,2,7212062308,48,38.2,2,58,3.2,2.7,110
SH,64.83,56.25,68,7501120314,64.1,59.9,21,59,1.8,0.5,14
SH,42.28,32.12,124,7601041119,44.1,34,185,76,3.2,1.9,179
SH,50.23,-24.76,63,7603061012,52.5,-25.8,134,-24,1.2,0.7,51
SH,25.01,87.09,130,7407110046,21.9,82.6,0,-10,2.4,1.9,63
SH,27.41,-90.57,0,7501030142,26.1,-92.7,0,42,2.4,1.6,38
A01,-15.27,-34.04,905,7309300410,-17.4,-38.4,917,-25,1.1,0.6,11
A06,47.22,47.57,881,7607021052,49.7,54.7,860,74,1,0.7,11
A07,22.94,48.41,902,7607020311,24,53.7,900,-75,0.8,0.7,12
A08,-28,-28.1,940,7705161052,-28,-28.1,940,51,2,1.2,21
A09,-37.8,-30.8,975,7704161958,-33.66,-27.33,971,14,4,2.6,43
A11,8.83,15.75,1179,7706180501,9.3,17.5,1200,-42,0.8,0.7,12
A14,-25.82,-30.48,880,7305281853,-28.7,-33.9,880,50,1.7,1.3,22
A16,6.66,4.06,1044,7210081524,6.8,5.1,1105,9,1.2,0.7,18
A17,21.56,-16.27,832,7211070852,23.1,-18,861,-47,2.6,0.4,15
A18,17.54,31.01,860,7301052250,18.6,34.7,882,-67,1.8,0.9,24
A20,20.46,-34.84,1021,7205151718,21.7,-41,1055,-1,2.4,0.8,13
A24,-32.89,-34.32,997,7706121817,-36.8,-38.9,980,57,2.1,1.7,32
A25,33.31,53.67,922,7706092015,34.4,59.3,898,87,2,1.7,26
A27,20.12,16.21,1010,7705160001,22.5,18.5,1059,-24,1.9,1.4,14
A30,11.22,-30.38,896,7205170042,11.8,-34.3,921,-37,1.5,1,23
A33,7.71,113.03,966,7210111935,6.9,117.8,887,-9,1.5,1.3,30
A34,6.99,-8.42,882,7206141834,7,-9.3,932,-32,1.2,0.6,26
A40,-0.9,-10.32,846,7306272348,-1.6,-10.9,886,-80,1.2,0.7,23
A41,12.7,-23.1,911,7206081616,13.9,-26.8,953,-28,5.6,2.2,84
A42,12.7,-23.1,911,7305030152,22.7,-53.5,1004,-53,1.8,1.4,24
A44,48.74,49.17,975,7405190309,51.9,57.1,956,-74,5.8,1.9,20
A50,9.36,-47.41,843,7304300105,9.4,-51.6,835,-13,2.4,1.5,30
A51,8.63,14.42,849,7402180835,8.8,15.7,888,-28,1.1,0.5,22
A97,-2.36,16.39,955,7705190608,-3.4,18.7,1000,-3,2.8,2.3,25
