Y,JD,S,E,A1,A2,A3,A4,P1,P2,P3,P4,Q1,Q2,Q3,Q4,COMMENTS,T1,N1,T2,N2,Grade,Traces,12LPX,12LPY,12LPZ,14SPZ,14LPX,14LPY,14LPZ,15SPZ,15LPX,15LPY,15LPZ,16SPZ,16LPX,16LPY,16LPZ
69,208,2348,0040,3.1,,,,,,,,5,,,,11Z AMLPITUDE,M,,M,,,,,,,,,,,,,,,,,,
69,209,1146,1215,1.8,,,,,,,,5,,,,11Z AMPLITUDE,C,,C,,,,,,,,,,,,,,,,,,
69,209,1349,1430,3.7,,,,,,,,5,,,,11Z AMPLITUDE  SP,A,0,A,0,,,,,,,,,,,,,,,,,
69,210,1318,1415,1.9,,,,,,,,5,,,,11Z AMPLITUDE,C,,C,,,,,,,,,,,,,,,,,,
69,214,1720,1810,1.9,,,,,,,,5,,,,11Z AMPLITUDE,C,,C,,,,,,,,,,,,,,,,,,
69,233,1858,2000,5,,,,,,,,5,,,,11Z AMPLITUDE,C,,C,,,,,,,,,,,,,,,,,,
69,235,0009,0045,1.6,,,,,,,,5,,,,11Z AMPLITUDE,,,,,,,,,,,,,,,,,,,,,
69,236,0618,0720,5.1,,,,,,,,5,,,,11Z AMPLITUDE,M,,M,,,,,,,,,,,,,,,,,,
69,237,0030,0115,4,,,,,,,,5,,,,11Z AMPLITUDE  SP,A,0,A,0,,,,,,,,,,,,,,,,,
69,324,2217,2322,30,,,,2,,,,5,,,,12 LM IMP,L,,L,,A,3,,1,1,1,,,,,,,,,,,
69,328,0751,0815,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,331,0318,0331,1,,,,2,,,,,,,,,,,,,C,1,,,1,,,,,,,,,,,,
69,332,0339,,-1,,,,,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
69,332,1002,1025,1.5,,,,2,,,,,,,,,C,,C,,C,2,,1,1,,,,,,,,,,,,
69,333,0910,0933,1,,,,2,,,,,,,,,,,A,208,C,3,,1,1,1,,,,,,,,,,,
69,333,1155,1210,1.5,,,,2,,,,,,,,,A,9,A,9,C,3,,1,1,1,,,,,,,,,,,
69,334,0324,0354,1.5,,,,2,,,,,,,,,A,2,A,2,B,3,,1,1,1,,,,,,,,,,,
69,334,0628,0643,1.5,,,,2,,,,,,,,,A,8,A,13,C,3,,1,1,1,,,,,,,,,,,
69,334,1148,1202,1,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
69,334,1915,1924,1,,,,2,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
69,335,0102,0116,1,,,,2,,,,,,,,,A,12,A,12,C,3,,1,1,1,,,,,,,,,,,
69,335,0528,0612,2.5,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
69,335,0652,0705,1,,,,2,,,,,,,,,,,A,216,C,3,,1,1,1,,,,,,,,,,,
69,335,1052,1118,1.5,,,,2,,,,,,,,,M,,A,1,C,3,,1,1,1,,,,,,,,,,,
69,336,0004,0022,2,,,,2,,,,,,,,T?,,,A,13,C,3,,1,1,1,,,,,,,,,,,
69,336,0243,0252,1,,,,2,,,,6,,,,,,,A,206,C,3,,1,1,1,,,,,,,,,,,
69,336,1355,1445,2.5,,,,2,,,,6,,,,,C,,C,,,,,,,,,,,,,,,,,,
69,339,1729,1743,1,,,,2,,,,,,,,,,,A,303,C,3,,1,1,1,,,,,,,,,,,
69,340,2033,2058,1,,,,2,,,,6,,,,,,,A,4,C,3,,1,1,1,,,,,,,,,,,
69,342,0144,0229,2,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
69,342,0813,0830,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,343,1903,1918,1,,,,2,,,,,,,,,,,A,305,C,3,,1,1,1,,,,,,,,,,,
69,344,1443,,-1,,,,,,,,,,,,,,,A,14,,,,,,,,,,,,,,,,,
69,344,2132,2233,8,,,,2,,,,,,,,,A,1,A,1,,,,,,,,,,,,,,,,,
69,345,0201,0213,0.5,,,,2,,,,,,,,,,,A,7,C,3,,1,1,1,,,,,,,,,,,
69,345,0403,0418,0.5,,,,2,,,,,,,,,,,A,22,C,1,,1,,,,,,,,,,,,,
69,345,1055,1104,0.5,,,,2,,,,,,,,T?,,,,,,,,,,,,,,,,,,,,,
69,345,1905,1922,1,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
69,346,0154,0221,1.5,,,,2,,,,,,,,,A,6,A,6,B,3,,1,1,1,,,,,,,,,,,
69,346,0820,,-1,,,,,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
69,346,1846,1910,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,347,0322,0355,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,347,0721,9999,1,,,,2,,,,,,,,,A,1,A,1,C,3,,1,1,1,,,,,,,,,,,
69,347,0740,0804,2,,,,2,,,,,,,,,A,5,A,5,C,3,,1,1,1,,,,,,,,,,,
69,347,1457,1520,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,347,1854,1908,0.5,,,,2,,,,,,,,,,,A,3,,,,,,,,,,,,,,,,,
69,347,2229,2255,0.5,,,,2,,,,,,,,,,,,,C,2,,1,1,,,,,,,,,,,,
69,348,0213,0305,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,348,0230,,-1,,,,,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
69,348,0433,0455,1,,,,2,,,,,,,,,,,,,C,2,,1,1,,,,,,,,,,,,
69,348,0903,0921,3,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
69,348,2218,2240,1,,,,2,,,,,,,,,,,A,1,C,3,,1,1,1,,,,,,,,,,,
69,348,2344,2358,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,349,1322,1349,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,350,0027,0050,6.5,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
69,352,0314,,-1,,,,,,,,,,,,,,,A,20,,,,,,,,,,,,,,,,,
69,355,0031,0105,1.5,,,,2,,,,,,,,,,,,,C,2,,1,1,,,,,,,,,,,,
69,357,0412,0433,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,357,2221,2240,3,,,,2,,,,,,,,,C,,C,,C,2,,1,1,,,,,,,,,,,,
69,360,1914,1925,1.5,,,,2,,,,,,,,,,,A,9,C,3,,1,1,1,,,,,,,,,,,
69,360,2227,2248,2.5,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
69,361,0904,0930,1,,,,2,,,,,,,,,A,10,A,10,C,2,,,1,1,,,,,,,,,,,
69,361,1340,1408,2,,,,2,,,,,,,,,A,8,A,8,C,2,,,1,1,,,,,,,,,,,
69,361,2132,2208,3,,,,2,,,,,,,,,C,,C,,C,2,,,1,1,,,,,,,,,,,
69,362,0241,0303,2,,,,2,,,,,,,,,A,2,A,2,C,2,,,1,1,,,,,,,,,,,
69,362,0705,0735,0.5,,,,2,,,,,,,,T?,,,,,,,,,,,,,,,,,,,,,
69,362,0745,0815,0.5,,,,2,,,,,,,,T?,,,A,208,,,,,,,,,,,,,,,,,
69,362,0850,0925,1,,,,2,,,,,,,,T?,,,A,38,C,2,,,1,1,,,,,,,,,,,
69,362,1127,1142,1.5,,,,2,,,,,,,,,A,12,A,12,C,2,,,1,1,,,,,,,,,,,
69,363,0242,0300,1,,,,2,,,,,,,,,M,,A,1,C,2,,,1,1,,,,,,,,,,,
69,363,2235,2252,1,,,,2,,,,,,,,,M,,A,13,C,2,,,1,1,,,,,,,,,,,
70,001,0140,0210,2,,,,2,,,,,,,,,,,A,206,,,,,,,,,,,,,,,,,
70,002,0220,0230,6.5,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
70,002,2118,2140,1,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,003,0908,0915,1,,,,2,,,,,,,,,,,A,303,,,,,,,,,,,,,,,,,
70,003,1125,1152,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,003,1242,1320,1.5,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,003,1624,1715,3,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
70,004,1120,1130,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,004,1154,1203,1,,,,2,,,,,,,,,,,A,217,,,,,,,,,,,,,,,,,
70,004,1603,1620,2,,,,2,,,,,,,,,A,4,A,4,,,,,,,,,,,,,,,,,
70,004,2105,2125,1,,,,2,,,,,,,,,,,A,224,,,,,,,,,,,,,,,,,
70,006,0353,0403,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,006,1328,1420,4,,,,2,,,,,,,,,A,1,A,1,,,,,,,,,,,,,,,,,
70,006,2158,2215,1.5,,,,2,,,,,,,,,,,A,305,,,,,,,,,,,,,,,,,
70,007,0204,0225,1,,,,2,,,,,,,,,,,A,86,,,,,,,,,,,,,,,,,
70,007,0910,1000,1.5,,,,2,,,,,,,,T?,,,,,,,,,,,,,,,,,,,,,
70,007,1108,1122,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,008,0049,0105,1,,,,2,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,008,0440,0510,1,,,,2,,,,,,,,,A,7,A,7,C,3,,1,1,1,,,,,,,,,,,
70,008,1249,1320,1.5,,,,2,,,,,,,,,A,63,A,22,C,3,,1,1,1,,,,,,,,,,,
70,008,1640,1704,1.5,,,,2,,,,,,,,,A,5,A,5,C,3,,1,1,1,,,,,,,,,,,
70,009,0108,0132,1,,,,2,,,,,,,,,,,A,202,C,3,,1,1,1,,,,,,,,,,,
70,009,0203,0252,3.5,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,009,0649,0713,2,,,,2,,,,,,,,,A,3,A,3,C,3,,1,1,1,,,,,,,,,,,
70,009,0732,0752,1,,,,2,,,,,,,,,A,6,A,6,C,3,,1,1,1,,,,,,,,,,,
70,010,0409,0433,3,,,,2,,,,6,,,,,A,5,A,5,B,3,,1,1,1,,,,,,,,,,,
70,010,0654,0710,1,,,,2,,,,,,,,,,,A,218,,,,,,,,,,,,,,,,,
70,010,2306,2341,2,,,,2,,,,,,,,,A,1,A,1,C,3,,1,1,1,,,,,,,,,,,
70,011,0239,0330,1,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,012,0035,0055,1,,,,2,,,,,,,,,,,,,C,2,,,1,1,,,,,,,,,,,
70,012,1241,1250,0.5,,,,2,,,,,,,,,M,,A,213,,,,,,,,,,,,,,,,,
70,015,0439,0512,1,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,019,2025,2152,10,,,,2,,,,,,,,,C,,C,,A,4,1,1,1,1,,,,,,,,,,,
70,020,1515,1550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,021,0455,0520,1,,,,,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
70,021,1250,1325,1,,,,,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
70,021,1924,1949,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,022,0851,0912,2,,,,2,,,,,,,,,A,2,A,2,C,3,,1,1,1,,,,,,,,,,,
70,022,1506,1532,1.5,,,,2,,,,,,,,,A,9,A,9,C,3,,1,1,1,,,,,,,,,,,
70,023,2037,2050,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,024,0339,0410,2.5,,,,2,,,,,,,,,A,8,A,8,C,3,,1,1,1,,,,,,,,,,,
70,024,0444,0550,4,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,024,0653,0725,6,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
